 inst#     actual  predicted error distribution (ID)
    85        2:1        1:2   +   *0.4,0.4,0.2 (3635)
    86        2:1        2:1       0,*1,0 (11578)
    87        2:1        2:1       0,*0.9,0.1 (6597)
    88        2:1        2:1       0,*1,0 (17188)
    89        2:1        2:1       0.1,*0.9,0 (10804)
    90        2:1        2:1       0.3,*0.6,0.1 (17599)
    91        2:1        3:0   +   0.3,0.3,*0.4 (1568)
    92        2:1        2:1       0.1,*0.8,0.1 (15908)
    93        2:1        2:1       0,*1,0 (6081)
    94        2:1        2:1       0.1,*0.8,0.1 (6065)
    95        2:1        2:1       0,*1,0 (5817)
    96        2:1        2:1       0,*0.9,0.1 (1750)
    97        2:1        2:1       0,*0.9,0.1 (17283)
    98        2:1        2:1       0.2,*0.7,0.1 (7969)
    99        2:1        2:1       0,*1,0 (8543)
   100        2:1        2:1       0.3,*0.6,0.1 (4796)
   101        2:1        2:1       0,*0.9,0.1 (8027)
   102        2:1        2:1       0.1,*0.9,0 (1292)
   103        2:1        2:1       0,*0.9,0.1 (3943)
   104        2:1        2:1       0,*0.9,0.1 (12777)
   105        2:1        2:1       0.1,*0.9,0 (5758)
   106        2:1        2:1       0,*1,0 (15311)
   107        2:1        2:1       0.1,*0.8,0.1 (7666)
   108        2:1        2:1       0.3,*0.6,0.1 (5499)
   109        2:1        2:1       0.2,*0.8,0 (9606)
   110        2:1        2:1       0.3,*0.7,0 (17817)
   111        2:1        2:1       0.2,*0.8,0 (13331)
   112        2:1        2:1       0,*1,0 (9758)
   113        2:1        2:1       0.1,*0.9,0 (14345)
   114        2:1        2:1       0.1,*0.9,0 (13473)
   115        2:1        2:1       0.3,*0.5,0.2 (3029)
   116        2:1        2:1       0.1,*0.9,0 (13195)
   117        2:1        2:1       0.2,*0.8,0 (14231)
   118        2:1        2:1       0.1,*0.8,0.1 (1255)
   119        2:1        2:1       0.1,*0.8,0.1 (8061)
   120        2:1        2:1       0.1,*0.9,0 (10885)
   121        2:1        2:1       0,*1,0 (16842)
   122        2:1        2:1       0.1,*0.7,0.2 (2606)
   123        2:1        2:1       0,*1,0 (10967)
   124        2:1        2:1       0,*1,0 (15494)
   125        2:1        2:1       0.1,*0.7,0.2 (8202)
   126        2:1        2:1       0,*1,0 (13405)
   127        2:1        2:1       0,*1,0 (10633)
   128        2:1        2:1       0,*1,0 (6032)
   129        2:1        2:1       0.1,*0.9,0 (7802)
   130        2:1        2:1       0.2,*0.8,0 (3806)
   131        2:1        2:1       0.2,*0.8,0 (7782)
   132        2:1        1:2   +   *0.5,0.4,0.1 (14278)
   133        2:1        2:1       0,*1,0 (13037)
   134        2:1        2:1       0.1,*0.7,0.2 (16585)
   135        2:1        2:1       0,*1,0 (3990)
   136        2:1        2:1       0,*0.8,0.2 (3253)
   137        2:1        2:1       0,*0.9,0.1 (3895)
   138        2:1        2:1       0.1,*0.9,0 (11550)
   139        2:1        2:1       0.2,*0.8,0 (17726)
   140        2:1        2:1       0.2,*0.8,0 (12857)
   141        2:1        2:1       0.4,*0.6,0 (18914)
   142        2:1        2:1       0,*1,0 (18505)
   143        2:1        2:1       0.1,*0.8,0.1 (11589)
   144        2:1        2:1       0,*1,0 (5189)
   145        2:1        2:1       0.2,*0.5,0.3 (5917)
