473	4062
1979	3406
2630	174
2886	476
3639	2519
2934	2945
1696	625
4165	4334
749	4377
3082	3699
2664	3023
2541	3689
3033	4457
2331	1193
4392	969
3345	1691
3495	4135
341	2812
609	4420
924	1297
2412	1806
4529	1811
474	3162
1555	2753
444	786
2988	1228
3841	1450
2659	1674
2772	1006
1937	4048
4477	2619
4365	2745
2220	1314
1750	212
2959	909
2896	2156
445	339
2155	4320
3574	348
3872	2533
160	2479
3814	3973
2512	424
2291	1346
2081	2672
4328	216
1791	2175
1055	3726
1970	2374
1134	3090
3067	3017
920	485
4393	1769
2508	212
1015	212
170	207
4542	207
869	620
4603	4035
4583	4586
948	2134
2986	4062
3897	2976
653	4305
1847	3897
1222	3836
2538	3953
4303	3639
2511	476
2785	2613
975	4334
1285	2154
2721	724
3108	3242
4005	1292
2737	1243
3255	943
1772	3005
4450	3196
3794	2584
2272	1721
4051	3797
3133	2175
3960	3973
3750	946
2323	4334
1607	174
595	4033
3996	1848
4303	191
1513	3776
4459	4051
1325	124
2450	1862
272	3406
2858	4288
1750	476
3701	969
1417	3503
3064	3341
1044	4441
3232	2011
864	1528
4411	2619
2178	2382
3684	2200
1971	81
3500	873
1017	2447
794	3670
2725	4033
1888	4288
2828	4340
4515	2398
3771	2519
903	873
957	906
1746	385
1015	1551
1429	1413
2536	3973
145	1610
1970	184
138	2634
1372	81
2511	2812
2347	4132
2519	1735
2405	3819
138	107
616	1806
3857	334
695	1682
4067	2286
4364	1811
2841	128
4510	1691
1345	476
4594	1423
1002	1346
3663	4320
590	1610
1267	2374
1513	2914
3152	943
2225	4035
2839	4229
761	35
3136	1786
1517	1691
1049	1502
2339	2372
2693	1411
1748	4334
4254	1549
3794	4281
2863	3090
3869	4579
2220	792
2584	680
4383	3118
1795	402
4024	1988
2716	483
2745	1691
2896	4149
4273	3866
4310	1691
4234	2173
901	1034
843	3017
2350	599
3213	2046
1386	3594
2556	210
4036	3659
457	1284
1831	1721
2439	2499
749	2159
3683	2091
2446	2588
1727	3041
2424	3159
64	143
3215	2977
2037	1700
4453	3648
712	625
2450	4149
1563	323
2095	2107
138	3017
1800	4036
948	2382
2648	2069
1919	1610
