9122	-1
9649	-1
10096	2753
10811	25
10817	-1
12640	16
12665	342
13015	685
13364	69
13957	-1
18306	308
21776	12
21823	974
22815	92
23328	2505
24839	838
27989	224
28195	4624
29036	1933
29297	97
29683	76
30837	195
31110	2470
33534	-1
33893	416
34670	19
37918	-1
37942	380
40707	267
42984	1579
43418	142
49068	42
49077	19
53115	183
53634	139
53929	141
53952	986
53959	71
57257	-1
64984	-1
72169	8
76675	707
85665	1001
86887	-1
90805	169
94047	1080
94452	167
94474	-1
102427	5387
105573	1517
108473	3692
112670	1481
120651	10
125771	5004
144253	1475
161364	3448
165174	292
171075	106
183206	8
184862	1556
197011	176
204455	393
206693	-1
208744	480
212442	146
217994	11
241394	15
255031	-1
275614	18
297808	81
323020	3413
335363	126
339414	1
343039	1588
371300	4
396795	50
400636	1958
401815	594
421806	181
422016	24
428862	1517
432190	1
455199	3405
463252	4065
