18306	368
53634	60
76675	-1
40707	272
13957	-1
31110	1983
335363	109
422016	461
24839	330
217994	22
94474	-1
21776	1
197011	118
401815	161
463252	4091
455199	-1
43418	14
102427	-1
275614	192
184862	1375
37918	-1
22815	92
112670	1213
23328	1234
85665	894
9122	-1
28195	6242
183206	15
204455	499
421806	217
53929	180
57257	-1
49068	123
9649	-1
13364	69
90805	81
165174	232
255031	18
49077	19
37942	938
108473	-1
428862	3385
432190	1
10811	13
21823	969
53952	1186
10817	-1
171075	60
53959	83
323020	3413
120651	36
125771	-1
339414	1
297808	-1
27989	835
161364	-1
13015	685
64984	-1
212442	1848
94047	734
12640	72
371300	3
105573	3068
33893	588
86887	-1
206693	-1
42984	935
72169	2
208744	3509
29036	724
34670	11
10096	3520
29297	740
241394	11
29683	130
30837	36
94452	782
12665	1055
343039	-1
400636	-1
53115	254
396795	32
33534	-1
144253	2211
