shared	0.2897465578584009	0.0866924109000251
webservices	0.31479216533970283	0.4964138156234593
lib	0.38845593773424647	0.574273631821802
tomcat	1.0	0.47627274203073877
jars	0.2980032040965778	0.36429023677575373
simple	0.4421440221205736	0.09992269865767493
empty	0.3493129139466614	0.09992269865767493
reproduce	0.4123107297807725	0.09275832839709465
high	0.279205183505765	0.06421955570310055
Metro	0.30631462312176677	0.4329278247765082
startup	0.40412480744168733	0.2999686695782888
installation	0.18012041870911644	0.2508949541059559
directories	0.31268208137451264	0.622066191352834
add	0.37286669299928743	0.07136373525964196
issue	0.24584703271880665	0.22195596974244677
test	0.1862969227606172	0.0866924109000251
increase	0.29170060874699144	0.28849728520018064
machine	0.4529804004635999	0.2508949541059559
secs	0.5749616982302894	0.28849728520018064
webapps	0.4044345703343285	1.0
JARs	0.5160910987183219	0.29919745904278466
time	0.7876042202202104	0.8375859403793101
simply	0.39165226343123755	0.06421955570310055
Startup	0.16951509260750167	0.40090432323170094
higher	0.28733797384431153	0.0866924109000251
