handles	0.2627980728402367	0.06788431376524882
clients	0.2321432495384886	0.4356110629772504
log	0.943925682223771	0.5769596858929377
pattern	0.24941211684787754	0.3900776655474868
mutators	0.26593649920897633	0.50450029859349
Time	0.2588799233880288	0.35751371600613546
Properties	0.15170399818829308	0.37409358705888063
LoggingEvent	1.0	0.7309014522977215
Chainsaw	0.2422464914515523	0.53705451123303
compatible	0.23122645510473766	0.05686956481729166
Stirng	0.24868130775474143	0.3307249630789988
member	0.2988609938062406	0.38351374960290013
XMLDecoder	0.24595405547410518	0.41705454743512205
Property	0.2453260957854426	0.38893297391916537
variablesto	0.28572968957128175	0.39549557971155125
Logging	0.5506000803124909	0.27822638480625006
accessors	0.4400824982754023	0.40727751554959496
getProperty	0.24868130775474143	0.2674523731708607
Stamp	0.25219633658012997	0.3110612272303237
dropping	0.3003599856019295	0.06788431376524882
getProperties	0.23651155011452354	0.24197183264278888
constructor	0.2547070148249975	0.4053781318457945
qualifiers	0.30324707444173066	0.29278826167229544
require	0.28925416423789335	0.06788431376524882
branches	0.2313102288220169	0.20037441961380328
getTimeStamp	0.1430000424612563	0.18442773360160342
Event	0.48539258324263906	1.0
support	0.25914260943616735	0.3881411927611203
supported	0.23122645510473766	0.054000773713748756
